
time,ax,ay,az,wx,wy,wz,
21:21:03:496,0.16,-0.01,-0.27,-0.01,0.09,0.10,
21:21:03:496,0.16,-0.01,-0.27,0.02,0.11,0.08,
21:21:03:497,0.16,-0.01,-0.27,0.03,0.12,0.06,
21:21:03:497,0.16,-0.01,-0.27,0.03,0.12,0.06,
21:21:03:497,0.16,-0.01,-0.27,0.03,0.12,0.06,
21:21:03:503,0.16,-0.01,-0.27,0.04,0.13,0.05,
21:21:03:503,0.15,-0.01,-0.22,0.04,0.13,0.05,
21:21:03:504,0.15,-0.01,-0.22,0.05,0.13,0.03,
21:21:03:504,0.15,-0.01,-0.22,0.07,0.14,0.01,
21:21:03:504,0.15,-0.01,-0.22,0.08,0.13,-0.01,
21:21:03:511,0.15,-0.01,-0.22,0.09,0.13,-0.01,
21:21:03:511,0.15,-0.01,-0.22,0.09,0.12,-0.02,
21:21:03:512,0.15,-0.01,-0.22,0.10,0.11,-0.02,
21:21:03:512,0.03,-0.07,-0.20,0.10,0.11,-0.02,
21:21:03:513,0.03,-0.07,-0.20,0.10,0.10,-0.02,
21:21:03:522,0.03,-0.07,-0.20,0.11,0.08,-0.02,
21:21:03:523,0.03,-0.07,-0.20,0.11,0.06,-0.01,
21:21:03:523,0.03,-0.07,-0.20,0.11,0.04,-0.01,
21:21:03:523,-0.07,-0.10,-0.16,0.11,0.04,-0.01,
21:21:03:524,-0.07,-0.10,-0.16,0.11,0.03,0.01,
21:21:03:524,-0.07,-0.10,-0.16,0.12,0.00,0.01,
21:21:03:524,-0.07,-0.10,-0.16,0.12,0.00,0.01,
21:21:03:526,-0.07,-0.10,-0.16,0.12,-0.01,0.01,
21:21:03:528,-0.07,-0.10,-0.16,0.11,-0.01,0.00,
21:21:03:533,-0.07,-0.10,-0.16,0.10,-0.00,-0.01,
21:21:03:533,-0.07,-0.10,-0.16,0.09,0.00,-0.01,
21:21:03:533,-0.06,-0.05,-0.23,0.09,0.00,-0.01,
21:21:03:535,-0.06,-0.05,-0.23,0.08,0.01,-0.01,
