
time,ax,ay,az,wx,wy,wz,
21:22:15:746,0.41,0.17,-0.26,-0.13,0.15,0.15,
21:22:15:746,0.41,0.17,-0.26,-0.12,0.17,0.17,
21:22:15:746,0.41,0.17,-0.26,-0.10,0.18,0.20,
21:22:15:749,0.41,0.17,-0.26,-0.09,0.19,0.21,
21:22:15:752,0.31,0.16,-0.19,-0.09,0.19,0.21,
21:22:15:752,0.31,0.16,-0.19,-0.06,0.19,0.23,
21:22:15:753,0.31,0.16,-0.19,-0.04,0.19,0.24,
21:22:15:753,0.31,0.16,-0.19,-0.03,0.19,0.25,
21:22:15:755,0.31,0.16,-0.19,-0.02,0.18,0.25,
21:22:15:758,0.31,0.16,-0.19,0.00,0.17,0.25,
21:22:15:760,0.31,0.16,-0.19,0.01,0.16,0.25,
21:22:15:761,0.14,0.05,-0.12,0.01,0.16,0.25,
21:22:15:762,0.14,0.05,-0.12,0.02,0.15,0.24,
21:22:15:763,0.14,0.05,-0.12,0.03,0.14,0.21,
21:22:15:765,0.14,0.05,-0.12,0.04,0.13,0.18,
21:22:15:767,0.14,0.05,-0.12,0.04,0.13,0.16,
21:22:15:771,0.03,-0.11,-0.10,0.04,0.13,0.16,
21:22:15:772,0.03,-0.11,-0.10,0.04,0.12,0.12,
21:22:15:773,0.03,-0.11,-0.10,0.03,0.10,0.08,
21:22:15:775,0.03,-0.11,-0.10,0.03,0.09,0.05,
21:22:15:776,0.03,-0.11,-0.10,0.04,0.07,0.01,
21:22:15:778,0.03,-0.11,-0.10,0.04,0.04,-0.04,
21:22:15:781,-0.13,-0.23,-0.00,0.04,0.04,-0.04,
21:22:15:781,-0.13,-0.23,-0.00,0.04,0.02,-0.06,
21:22:15:781,-0.13,-0.23,-0.00,0.04,-0.01,-0.10,
21:22:15:783,-0.13,-0.23,-0.00,0.05,-0.05,-0.13,
21:22:15:785,-0.13,-0.23,-0.00,0.06,-0.07,-0.14,
21:22:15:787,-0.13,-0.23,-0.00,0.08,-0.11,-0.17,
21:22:15:793,-0.27,-0.23,0.10,0.08,-0.11,-0.17,
21:22:15:793,-0.27,-0.23,0.10,0.09,-0.16,-0.20,
21:22:15:794,-0.27,-0.23,0.10,0.10,-0.18,-0.21,
21:22:15:794,-0.27,-0.23,0.10,0.10,-0.19,-0.21,
21:22:15:796,-0.27,-0.23,0.10,0.11,-0.22,-0.22,
21:22:15:797,-0.27,-0.23,0.10,0.11,-0.22,-0.22,
21:22:15:804,-0.28,-0.19,0.13,0.11,-0.22,-0.22,
21:22:15:804,-0.28,-0.19,0.13,0.12,-0.24,-0.22,
21:22:15:805,-0.28,-0.19,0.13,0.12,-0.24,-0.22,
21:22:15:805,-0.28,-0.19,0.13,0.11,-0.24,-0.21,
21:22:15:805,-0.28,-0.19,0.13,0.10,-0.23,-0.20,
21:22:15:808,-0.28,-0.19,0.13,0.09,-0.21,-0.20,
21:22:15:815,-0.28,-0.19,0.13,0.08,-0.20,-0.19,
21:22:15:816,-0.09,-0.14,0.04,0.08,-0.20,-0.19,
21:22:15:816,-0.09,-0.14,0.04,0.07,-0.18,-0.18,
21:22:15:816,-0.09,-0.14,0.04,0.05,-0.14,-0.16,
21:22:15:817,-0.09,-0.14,0.04,0.05,-0.13,-0.16,
21:22:15:819,-0.09,-0.14,0.04,0.03,-0.10,-0.13,
21:22:15:821,-0.09,-0.14,0.04,0.02,-0.06,-0.11,
21:22:15:821,-0.09,-0.14,0.04,0.01,-0.03,-0.09,
21:22:15:822,0.12,-0.02,-0.08,0.01,-0.03,-0.09,
21:22:15:825,0.12,-0.02,-0.08,0.01,-0.01,-0.07,
21:22:15:826,0.12,-0.02,-0.08,-0.00,0.02,-0.04,
21:22:15:827,0.12,-0.02,-0.08,-0.01,0.05,-0.00,
21:22:15:833,0.12,-0.02,-0.08,-0.01,0.08,0.05,
21:22:15:834,0.12,-0.02,-0.08,-0.01,0.09,0.07,
21:22:15:834,0.12,-0.02,-0.08,-0.01,0.10,0.09,
21:22:15:835,0.22,0.14,-0.11,-0.01,0.10,0.09,
21:22:15:835,0.22,0.14,-0.11,-0.01,0.11,0.11,
21:22:15:837,0.22,0.14,-0.11,-0.02,0.13,0.14,
21:22:15:840,0.22,0.14,-0.11,-0.02,0.14,0.17,
21:22:15:841,0.22,0.21,-0.12,-0.02,0.14,0.17,
21:22:15:842,0.22,0.21,-0.12,-0.02,0.15,0.19,
21:22:15:843,0.22,0.21,-0.12,-0.03,0.16,0.22,
21:22:15:846,0.22,0.21,-0.12,-0.04,0.17,0.23,
21:22:15:847,0.22,0.21,-0.12,-0.04,0.18,0.24,
21:22:15:851,0.18,0.17,-0.13,-0.04,0.18,0.24,
21:22:15:851,0.18,0.17,-0.13,-0.05,0.18,0.25,
21:22:15:851,0.18,0.17,-0.13,-0.07,0.19,0.25,
21:22:15:853,0.18,0.17,-0.13,-0.07,0.18,0.24,
21:22:15:855,0.18,0.17,-0.13,-0.09,0.18,0.23,
21:22:15:858,0.18,0.17,-0.13,-0.09,0.17,0.21,
21:22:15:860,0.08,0.08,-0.08,-0.09,0.17,0.21,
21:22:15:861,0.08,0.08,-0.08,-0.10,0.16,0.20,
21:22:15:861,0.08,0.08,-0.08,-0.10,0.15,0.17,
21:22:15:863,0.08,0.08,-0.08,-0.11,0.13,0.15,
21:22:15:865,0.08,0.08,-0.08,-0.11,0.12,0.13,
21:22:15:867,0.08,0.08,-0.08,-0.11,0.09,0.10,
21:22:15:874,0.08,0.08,-0.08,-0.09,0.03,0.03,
21:22:15:874,0.08,0.08,-0.08,-0.09,0.01,0.02,
21:22:15:875,0.08,0.08,-0.08,-0.09,0.01,0.02,
21:22:15:875,-0.11,-0.03,0.03,-0.09,0.01,0.02,
21:22:15:875,-0.11,-0.03,0.03,-0.08,-0.02,-0.01,
21:22:15:877,-0.11,-0.03,0.03,-0.06,-0.05,-0.04,
21:22:15:880,-0.26,-0.12,0.15,-0.06,-0.05,-0.04,
21:22:15:881,-0.26,-0.12,0.15,-0.05,-0.07,-0.05,
21:22:15:881,-0.26,-0.12,0.15,-0.04,-0.10,-0.08,
21:22:15:883,-0.26,-0.12,0.15,-0.03,-0.13,-0.10,
21:22:15:885,-0.26,-0.12,0.15,-0.02,-0.15,-0.11,
21:22:15:888,-0.26,-0.12,0.15,-0.01,-0.17,-0.13,
21:22:15:891,-0.32,-0.20,0.17,-0.01,-0.17,-0.13,
21:22:15:891,-0.32,-0.20,0.17,0.00,-0.19,-0.14,
21:22:15:891,-0.32,-0.20,0.17,0.00,-0.19,-0.15,
21:22:15:893,-0.32,-0.20,0.17,0.01,-0.21,-0.16,
