
time,wx,wy,wz,ax,ay,az,
04:05:21:032,0.09,0.17,-0.06,0.52,0.03,0.69,
04:05:21:033,0.19,0.15,-0.09,0.52,0.03,0.69,
04:05:21:033,0.19,0.15,-0.09,0.52,0.03,0.69,
04:05:21:034,0.19,0.13,-0.09,0.52,0.03,0.69,
04:05:21:034,0.19,0.11,-0.07,0.52,0.03,0.69,
04:05:21:035,0.18,0.05,-0.06,0.52,0.03,0.69,
04:05:21:040,0.18,0.00,-0.05,0.52,0.03,0.69,
04:05:21:041,0.19,-0.03,-0.05,0.52,0.03,0.69,
04:05:21:041,0.19,-0.03,-0.05,0.31,-0.10,0.54,
04:05:21:042,0.21,-0.09,-0.04,0.31,-0.10,0.54,
04:05:21:047,0.22,-0.12,-0.02,0.31,-0.10,0.54,
04:05:21:047,0.22,-0.13,-0.01,0.31,-0.10,0.54,
04:05:21:049,0.22,-0.13,-0.01,0.32,0.14,0.55,
04:05:21:049,0.25,-0.16,-0.04,0.32,0.14,0.55,
04:05:21:050,0.25,-0.17,-0.05,0.32,0.14,0.55,
04:05:21:051,0.24,-0.17,-0.05,0.32,0.14,0.55,
04:05:21:053,0.20,-0.16,-0.05,0.32,0.14,0.55,
04:05:21:054,0.17,-0.14,-0.07,0.32,0.14,0.55,
04:05:21:058,0.17,-0.10,-0.09,0.32,0.14,0.55,
04:05:21:058,0.17,-0.10,-0.09,0.48,0.10,0.52,
04:05:21:059,0.17,-0.09,-0.11,0.48,0.10,0.52,
04:05:21:061,0.16,-0.05,-0.13,0.48,0.10,0.52,
04:05:21:063,0.12,-0.03,-0.13,0.48,0.10,0.52,
04:05:21:065,0.10,-0.02,-0.12,0.48,0.10,0.52,
04:05:21:071,0.06,-0.01,-0.11,0.48,0.10,0.52,
04:05:21:071,0.06,-0.01,-0.11,0.48,0.10,0.52,
04:05:21:072,0.06,-0.01,-0.11,0.48,0.10,0.52,
04:05:21:072,0.06,-0.01,-0.11,0.47,0.11,0.45,
04:05:21:073,0.05,-0.00,-0.09,0.47,0.11,0.45,
04:05:21:075,0.04,-0.03,-0.08,0.47,0.11,0.45,
04:05:21:078,0.05,-0.05,-0.07,0.47,0.11,0.45,
04:05:21:079,0.06,-0.06,-0.05,0.47,0.11,0.45,
04:05:21:080,0.06,-0.06,-0.05,0.45,0.32,0.52,
04:05:21:081,0.04,-0.09,-0.02,0.45,0.32,0.52,
04:05:21:083,0.03,-0.11,-0.00,0.45,0.32,0.52,
04:05:21:084,0.00,-0.14,0.03,0.45,0.32,0.52,
04:05:21:088,0.01,-0.16,0.05,0.45,0.32,0.52,
04:05:21:088,0.01,-0.16,0.05,0.39,0.60,0.48,
04:05:21:089,0.03,-0.17,0.04,0.39,0.60,0.48,
04:05:21:091,0.06,-0.15,0.03,0.39,0.60,0.48,
04:05:21:103,0.07,-0.11,0.02,0.39,0.60,0.48,
04:05:21:103,0.06,-0.10,0.02,0.39,0.60,0.48,
04:05:21:104,0.04,-0.08,0.02,0.39,0.60,0.48,
04:05:21:104,0.04,-0.08,0.02,0.52,0.66,0.37,
04:05:21:105,0.03,-0.08,0.02,0.52,0.66,0.37,
04:05:21:106,0.03,-0.08,0.01,0.52,0.66,0.37,
04:05:21:106,0.01,-0.07,0.01,0.52,0.66,0.37,
04:05:21:106,-0.01,-0.07,0.02,0.52,0.66,0.37,
04:05:21:113,-0.09,-0.11,0.05,0.52,0.66,0.37,
04:05:21:114,-0.09,-0.11,0.05,0.52,0.66,0.37,
04:05:21:114,-0.09,-0.11,0.05,0.52,0.66,0.37,
04:05:21:115,-0.11,-0.12,0.05,0.52,0.66,0.37,
04:05:21:115,-0.11,-0.12,0.05,0.60,0.43,0.32,
04:05:21:116,-0.16,-0.16,0.07,0.60,0.43,0.32,
04:05:21:119,-0.16,-0.16,0.07,0.53,0.41,0.03,
04:05:21:120,-0.21,-0.16,0.10,0.53,0.41,0.03,
04:05:21:121,-0.23,-0.14,0.10,0.53,0.41,0.03,
04:05:21:122,-0.23,-0.13,0.10,0.53,0.41,0.03,
04:05:21:123,-0.24,-0.11,0.09,0.53,0.41,0.03,
04:05:21:125,-0.25,-0.09,0.09,0.53,0.41,0.03,
04:05:21:128,-0.25,-0.07,0.07,0.53,0.41,0.03,
04:05:21:129,-0.25,-0.07,0.07,0.61,0.58,-0.01,
04:05:21:130,-0.23,-0.05,0.06,0.61,0.58,-0.01,
04:05:21:130,-0.23,-0.04,0.05,0.61,0.58,-0.01,
04:05:21:132,-0.24,-0.03,0.06,0.61,0.58,-0.01,
04:05:21:135,-0.24,-0.01,0.07,0.61,0.58,-0.01,
04:05:21:137,-0.21,-0.00,0.06,0.61,0.58,-0.01,
04:05:21:138,-0.21,-0.00,0.06,0.66,0.43,0.16,
04:05:21:139,-0.18,-0.01,0.05,0.66,0.43,0.16,
04:05:21:140,-0.14,-0.02,0.05,0.66,0.43,0.16,
04:05:21:143,-0.16,-0.03,0.09,0.66,0.43,0.16,
04:05:21:146,-0.18,-0.04,0.11,0.66,0.43,0.16,
04:05:21:150,-0.19,-0.08,0.15,0.66,0.43,0.16,
04:05:21:150,-0.18,-0.09,0.15,0.66,0.43,0.16,
04:05:21:151,-0.18,-0.09,0.15,0.58,0.08,0.17,
04:05:21:152,-0.17,-0.09,0.15,0.58,0.08,0.17,
04:05:21:153,-0.15,-0.09,0.14,0.58,0.08,0.17,
04:05:21:155,-0.14,-0.07,0.13,0.58,0.08,0.17,
04:05:21:158,-0.11,-0.03,0.10,0.58,0.08,0.17,
04:05:21:159,-0.11,-0.03,0.10,0.59,0.12,0.11,
04:05:21:159,-0.08,-0.01,0.08,0.59,0.12,0.11,
04:05:21:162,-0.04,0.02,0.04,0.59,0.12,0.11,
04:05:21:163,-0.03,0.04,0.02,0.59,0.12,0.11,
04:05:21:164,0.00,0.07,-0.01,0.59,0.12,0.11,
04:05:21:168,0.05,0.10,-0.05,0.59,0.12,0.11,
04:05:21:169,0.08,0.11,-0.06,0.59,0.12,0.11,
