
time,ax,ay,az,wx,wy,wz,
08:28:16:806,0.80,0.02,1.10,0.04,-0.00,-0.00,
08:28:16:807,-0.36,-0.20,2.10,0.04,-0.00,-0.00,
08:28:16:808,-0.36,-0.20,2.10,0.04,0.06,-0.00,
08:28:16:808,-0.36,-0.20,2.10,0.04,0.06,-0.00,
08:28:16:809,-0.36,-0.20,2.10,0.06,0.02,-0.01,
08:28:16:810,-0.17,0.55,1.07,0.06,0.02,-0.01,
08:28:16:811,-0.17,0.55,1.07,0.07,-0.02,-0.01,
08:28:16:812,-0.17,0.55,1.07,0.07,-0.02,-0.01,
08:28:16:812,-0.17,0.55,1.07,0.07,0.02,-0.01,
08:28:16:813,-0.25,-0.16,2.59,0.07,0.02,-0.01,
08:28:16:814,-0.25,-0.16,2.59,0.06,0.08,-0.01,
08:28:16:814,-0.25,-0.16,2.59,0.06,0.08,-0.01,
08:28:16:815,-0.25,-0.16,2.59,0.06,0.04,-0.02,
08:28:16:816,-0.40,-0.53,1.01,0.06,0.04,-0.02,
08:28:16:816,-0.40,-0.53,1.01,0.08,-0.06,-0.02,
08:28:16:817,-0.40,-0.53,1.01,0.08,-0.06,-0.02,
08:28:16:818,-0.40,-0.53,1.01,0.09,-0.08,-0.02,
08:28:16:819,-1.15,0.24,0.59,0.09,-0.08,-0.02,
08:28:16:819,-1.15,0.24,0.59,0.10,0.02,-0.03,
08:28:16:820,-1.15,0.24,0.59,0.10,0.02,-0.03,
08:28:16:821,-1.15,0.24,0.59,0.09,0.12,-0.04,
08:28:16:822,-0.22,0.35,1.57,0.09,0.12,-0.04,
08:28:16:823,-0.22,0.35,1.57,0.07,0.09,-0.04,
08:28:16:824,-0.22,0.35,1.57,0.07,0.09,-0.04,
08:28:16:825,-0.22,0.35,1.57,0.07,-0.04,-0.04,
08:28:16:826,0.25,-0.88,0.23,0.07,-0.04,-0.04,
08:28:16:827,0.25,-0.88,0.23,0.05,-0.09,-0.03,
08:28:16:829,0.25,-0.88,0.23,0.05,-0.09,-0.03,
08:28:16:830,0.25,-0.88,0.23,0.03,-0.02,-0.02,
08:28:16:831,-0.95,-1.33,0.45,0.03,-0.02,-0.02,
08:28:16:831,-0.95,-1.33,0.45,0.02,0.11,-0.03,
08:28:16:832,-0.95,-1.33,0.45,0.02,0.11,-0.03,
08:28:16:832,-0.95,-1.33,0.45,0.03,0.18,-0.05,
08:28:16:833,-1.23,-0.17,0.08,0.03,0.18,-0.05,
08:28:16:834,-1.23,-0.17,0.08,0.04,0.17,-0.07,
08:28:16:835,-1.23,-0.17,0.08,0.04,0.17,-0.07,
08:28:16:839,-1.23,-0.17,0.08,0.04,0.13,-0.08,
08:28:16:840,0.93,-0.06,2.61,0.04,0.13,-0.08,
08:28:16:840,0.93,-0.06,2.61,0.03,0.09,-0.09,
08:28:16:840,0.93,-0.07,2.61,0.03,0.09,-0.09,
08:28:16:842,0.93,-0.07,2.61,0.02,0.08,-0.07,
08:28:16:842,-0.55,-0.92,1.52,0.02,0.08,-0.07,
08:28:16:844,-0.55,-0.92,1.52,0.02,0.08,-0.05,
08:28:16:845,-0.55,-0.92,1.52,0.02,0.08,-0.05,
08:28:16:856,-0.55,-0.92,1.52,0.03,0.08,-0.03,
08:28:16:858,-2.13,-1.59,0.01,0.03,0.08,-0.03,
08:28:16:860,-2.13,-1.59,0.01,0.05,0.07,-0.03,
08:28:16:860,-2.13,-1.59,0.01,0.05,0.07,-0.03,
08:28:16:861,-2.13,-1.59,0.01,0.08,0.06,-0.05,
08:28:16:862,-0.49,0.52,1.66,0.08,0.06,-0.05,
08:28:16:862,-0.49,0.52,1.66,0.10,0.11,-0.06,
08:28:16:863,-0.49,0.52,1.66,0.10,0.11,-0.06,
08:28:16:863,-0.49,0.52,1.66,0.11,0.16,-0.07,
08:28:16:864,-0.89,0.75,2.10,0.11,0.16,-0.07,
08:28:16:864,-0.89,0.75,2.10,0.09,0.15,-0.06,
08:28:16:865,-0.89,0.75,2.10,0.09,0.15,-0.06,
08:28:16:866,-0.89,0.75,2.10,0.07,0.04,-0.04,
08:28:16:868,-0.01,-0.88,2.20,0.07,0.04,-0.04,
08:28:16:869,-0.01,-0.88,2.20,0.06,-0.07,-0.03,
08:28:16:869,-0.00,-0.88,2.20,0.06,-0.07,-0.03,
08:28:16:870,-0.00,-0.88,2.20,0.06,-0.10,-0.02,
08:28:16:871,-1.31,-0.40,0.79,0.06,-0.10,-0.02,
08:28:16:879,-1.31,-0.40,0.79,0.08,-0.05,-0.02,
08:28:16:879,-1.31,-0.40,0.79,0.09,0.04,-0.02,
08:28:16:880,-1.97,-0.10,0.12,0.09,0.04,-0.02,
08:28:16:881,-1.97,-0.10,0.12,0.09,0.04,-0.02,
08:28:16:881,-1.97,-0.10,0.12,0.10,0.09,-0.03,
08:28:16:882,-1.96,-0.10,0.12,0.10,0.09,-0.03,
08:28:16:883,-1.96,-0.10,0.12,0.10,0.11,-0.04,
08:28:16:885,-0.38,0.77,1.90,0.10,0.11,-0.04,
08:28:16:886,-0.38,0.77,1.90,0.10,0.09,-0.05,
08:28:16:887,-0.38,0.76,1.90,0.10,0.09,-0.05,
08:28:16:888,-0.38,0.76,1.90,0.08,0.03,-0.04,
08:28:16:888,-0.67,-0.23,1.04,0.08,0.03,-0.04,
08:28:16:889,-0.67,-0.23,1.04,0.07,-0.05,-0.03,
08:28:16:889,-0.67,-0.23,1.04,0.07,-0.05,-0.03,
08:28:16:890,-0.67,-0.23,1.04,0.06,-0.11,-0.02,
08:28:16:891,-0.61,-1.34,0.15,0.06,-0.11,-0.02,
08:28:16:891,-0.61,-1.34,0.15,0.05,-0.13,-0.01,
08:28:16:892,-0.61,-1.34,0.15,0.05,-0.13,-0.01,
08:28:16:892,-0.61,-1.34,0.15,0.06,-0.10,-0.01,
08:28:16:893,-0.46,-0.93,-0.59,0.06,-0.10,-0.01,
08:28:16:896,-0.46,-0.93,-0.59,0.06,-0.02,-0.01,
08:28:16:897,-0.46,-0.93,-0.59,0.06,-0.02,-0.01,
08:28:16:897,-0.46,-0.93,-0.59,0.07,0.09,-0.02,
08:28:16:898,-1.43,-0.75,-0.61,0.07,0.09,-0.02,
08:28:16:907,-1.43,-0.75,-0.61,0.08,0.17,-0.03,
08:28:16:908,-1.43,-0.75,-0.61,0.08,0.17,-0.03,
08:28:16:908,-1.43,-0.75,-0.61,0.08,0.20,-0.04,
08:28:16:909,-1.19,-0.07,1.41,0.08,0.20,-0.04,
08:28:16:910,-1.19,-0.07,1.41,0.08,0.21,-0.05,
08:28:16:910,-1.19,-0.07,1.41,0.08,0.21,-0.05,
08:28:16:911,-1.19,-0.07,1.41,0.08,0.15,-0.05,
08:28:16:912,-1.57,-0.58,2.43,0.08,0.15,-0.05,
08:28:16:912,-1.57,-0.58,2.43,0.07,-0.01,-0.03,
08:28:16:913,-1.57,-0.58,2.43,0.07,-0.01,-0.03,
