
time,ax,ay,az,wx,wy,wz,
0.001288,0.05,-0.87,1.46,-0.01,-0.08,-0.03,
0.001539,0.08,-0.42,1.24,-0.01,-0.08,-0.03,
0.001683,0.08,-0.42,1.24,-0.00,-0.07,-0.02,
0.001826,0.08,-0.42,1.24,-0.00,-0.07,-0.02,
0.001948,0.08,-0.42,1.24,-0.01,-0.06,-0.02,
0.002067,0.46,-0.31,-0.41,-0.01,-0.06,-0.02,
0.002574,0.46,-0.31,-0.41,-0.02,-0.03,-0.00,
0.002851,0.46,-0.31,-0.41,-0.02,-0.03,-0.00,
0.004926,0.46,-0.31,-0.41,-0.03,0.01,0.01,
0.005174,-0.09,-0.53,0.10,-0.03,0.01,0.01,
0.007535,-0.09,-0.53,0.10,-0.03,0.06,0.00,
0.007847,-0.09,-0.53,0.10,-0.03,0.06,0.00,
0.010176,-0.09,-0.53,0.10,-0.02,0.08,-0.01,
0.010659,-0.21,-1.36,1.76,-0.02,0.08,-0.01,
0.012840,-0.21,-1.36,1.76,-0.01,0.08,-0.03,
0.013270,-0.21,-1.36,1.76,-0.01,0.08,-0.03,
0.015104,-0.21,-1.36,1.76,0.00,0.04,-0.04,
0.015454,-0.30,-1.20,0.90,0.00,0.04,-0.04,
0.017865,-0.30,-1.20,0.90,0.00,0.00,-0.04,
0.018270,-0.30,-1.20,0.90,0.00,0.00,-0.04,
0.019954,-0.30,-1.20,0.90,0.00,-0.02,-0.03,
0.020213,-0.66,-0.72,0.44,0.00,-0.02,-0.03,
0.022506,-0.66,-0.72,0.44,-0.00,-0.01,-0.02,
0.022867,-0.65,-0.72,0.43,-0.00,-0.01,-0.02,
0.028853,-0.65,-0.72,0.43,-0.01,0.00,-0.01,
0.029370,-0.37,-0.27,0.98,-0.01,0.00,-0.01,
0.029639,-0.37,-0.27,0.98,-0.01,-0.01,-0.01,
0.029880,-0.37,-0.27,0.98,-0.01,-0.01,-0.01,
0.030125,-0.37,-0.27,0.98,-0.03,-0.04,-0.01,
0.030376,0.57,-0.71,0.84,-0.03,-0.04,-0.01,
0.032738,0.57,-0.71,0.84,-0.05,-0.06,-0.02,
0.033162,0.57,-0.71,0.84,-0.05,-0.06,-0.02,
0.035065,0.57,-0.71,0.84,-0.07,-0.07,-0.02,
0.035386,0.26,-0.64,0.50,-0.07,-0.07,-0.02,
0.037628,0.26,-0.64,0.50,-0.07,-0.05,-0.03,
0.038003,0.26,-0.64,0.50,-0.07,-0.05,-0.03,
0.040017,0.26,-0.64,0.50,-0.07,-0.02,-0.02,
0.040304,-0.31,-1.00,1.34,-0.07,-0.02,-0.02,
0.044453,-0.31,-1.00,1.34,-0.05,-0.01,-0.02,
0.044825,-0.31,-1.00,1.34,-0.05,-0.01,-0.02,
0.045148,-0.31,-1.00,1.34,-0.04,-0.01,-0.02,
0.045427,-0.08,-1.40,0.70,-0.04,-0.01,-0.02,
0.047594,-0.08,-1.40,0.70,-0.04,-0.04,-0.02,
0.047813,-0.08,-1.40,0.70,-0.04,-0.04,-0.02,
0.050267,-0.08,-1.40,0.70,-0.03,-0.06,-0.03,
0.050492,0.31,-0.76,0.26,-0.03,-0.06,-0.03,
0.052915,0.31,-0.76,0.26,-0.01,-0.07,-0.03,
0.053360,0.31,-0.76,0.26,-0.01,-0.07,-0.03,
0.055034,0.31,-0.76,0.26,-0.00,-0.07,-0.03,
0.055313,0.87,-0.09,1.04,-0.00,-0.07,-0.03,
0.057683,0.87,-0.09,1.04,0.00,-0.04,-0.03,
0.058079,0.87,-0.09,1.04,0.00,-0.04,-0.03,
0.060472,0.87,-0.09,1.04,-0.01,0.02,-0.03,
0.060899,0.31,-1.00,0.64,-0.01,0.02,-0.03,
0.062793,0.31,-1.00,0.64,-0.03,0.07,-0.02,
0.063218,0.31,-1.00,0.64,-0.03,0.07,-0.02,
0.065273,0.31,-1.00,0.64,-0.04,0.09,-0.02,
0.065638,0.32,-1.56,0.46,-0.04,0.09,-0.02,
