
time,ax,ay,az,wx,wy,wz,
0.000563,-0.63,-0.55,1.47,0.05,0.06,-0.05,
0.000874,-0.26,0.10,1.53,0.05,0.06,-0.05,
0.001040,-0.26,0.10,1.53,0.06,0.02,-0.06,
0.001208,-0.26,0.10,1.54,0.06,0.02,-0.06,
0.003660,-0.26,0.10,1.54,0.05,-0.01,-0.05,
0.003932,-0.05,0.18,0.58,0.05,-0.01,-0.05,
0.005381,-0.05,0.18,0.58,0.04,-0.02,-0.03,
0.005851,-0.05,0.18,0.58,0.04,-0.02,-0.03,
0.008041,-0.05,0.18,0.58,0.03,-0.02,-0.01,
0.008587,-0.32,0.56,0.31,0.03,-0.02,-0.01,
0.010405,-0.32,0.56,0.31,0.02,-0.00,0.00,
0.010748,-0.32,0.56,0.31,0.02,-0.00,0.00,
0.012832,-0.32,0.56,0.31,-0.00,0.03,0.02,
0.013717,-0.85,-0.38,0.27,-0.00,0.03,0.02,
0.015372,-0.85,-0.38,0.27,-0.01,0.04,0.01,
0.015822,-0.85,-0.38,0.27,-0.01,0.04,0.01,
0.017950,-0.85,-0.38,0.27,-0.01,0.03,-0.01,
0.018347,-0.36,-0.82,1.85,-0.01,0.03,-0.01,
0.023729,-0.36,-0.82,1.85,0.01,-0.02,-0.03,
0.024294,-0.36,-0.82,1.85,0.01,-0.02,-0.03,
0.024691,-0.36,-0.82,1.85,0.01,-0.07,-0.03,
0.025048,-0.32,-0.75,0.79,0.01,-0.07,-0.03,
0.025402,-0.32,-0.75,0.79,0.01,-0.10,-0.03,
0.025747,-0.32,-0.75,0.79,0.01,-0.10,-0.03,
0.028120,-0.32,-0.75,0.79,0.00,-0.10,-0.01,
0.028541,-0.36,-0.38,0.04,0.00,-0.10,-0.01,
0.030203,-0.36,-0.38,0.04,-0.00,-0.07,0.00,
0.030544,-0.37,-0.38,0.04,-0.00,-0.07,0.00,
0.033009,-0.37,-0.38,0.04,0.01,-0.01,0.01,
0.033403,-0.71,-0.08,0.86,0.01,-0.01,0.01,
0.035356,-0.71,-0.08,0.86,0.02,0.05,0.01,
0.035848,-0.71,-0.08,0.86,0.02,0.05,0.01,
0.038315,-0.71,-0.08,0.86,0.02,0.09,-0.01,
0.038954,-0.51,-0.68,1.15,0.02,0.09,-0.01,
0.040419,-0.51,-0.68,1.15,0.03,0.08,-0.03,
0.040850,-0.51,-0.68,1.15,0.03,0.08,-0.03,
0.042961,-0.51,-0.68,1.15,0.04,0.03,-0.05,
0.043271,0.20,-0.79,0.94,0.04,0.03,-0.05,
0.045476,0.20,-0.79,0.94,0.04,-0.02,-0.05,
0.045837,0.20,-0.79,0.94,0.04,-0.02,-0.05,
0.048242,0.20,-0.79,0.94,0.03,-0.04,-0.04,
0.048684,-0.41,-0.01,-0.09,0.03,-0.04,-0.04,
0.050295,-0.41,-0.01,-0.09,0.02,-0.02,-0.02,
0.050707,-0.41,-0.01,-0.09,0.02,-0.02,-0.02,
0.053867,-0.41,-0.01,-0.09,0.02,0.02,-0.01,
0.054338,-0.78,0.12,0.70,0.02,0.02,-0.01,
0.055486,-0.78,0.12,0.70,0.02,0.06,-0.00,
0.055946,-0.78,0.12,0.70,0.02,0.06,-0.00,
0.058074,-0.78,0.12,0.70,0.03,0.07,-0.01,
0.058400,-0.32,-0.26,1.82,0.03,0.07,-0.01,
0.060736,-0.32,-0.26,1.82,0.02,0.07,-0.01,
0.061098,-0.32,-0.26,1.82,0.02,0.07,-0.01,
0.062915,-0.32,-0.26,1.82,0.02,0.05,-0.02,
0.063229,-0.37,-0.74,1.48,0.02,0.05,-0.02,
0.065425,-0.37,-0.74,1.48,0.02,0.01,-0.03,
0.065782,-0.37,-0.74,1.48,0.02,0.01,-0.03,
0.068745,-0.37,-0.74,1.48,0.01,-0.03,-0.03,
0.069184,-0.37,-0.14,0.06,0.01,-0.03,-0.03,
0.071374,-0.37,-0.14,0.06,0.00,-0.06,-0.02,
0.071941,-0.37,-0.14,0.06,0.00,-0.06,-0.02,
0.072945,-0.37,-0.14,0.06,-0.00,-0.04,-0.01,
0.073323,-0.79,0.28,-0.07,-0.00,-0.04,-0.01,
0.075347,-0.79,0.28,-0.07,-0.00,-0.02,-0.01,
0.075886,-0.79,0.28,-0.07,-0.00,-0.02,-0.01,
0.077816,-0.79,0.28,-0.07,0.01,-0.01,-0.01,
0.078180,0.04,0.23,2.34,0.01,-0.01,-0.01,
0.080366,0.04,0.23,2.34,0.02,-0.01,-0.02,
0.080769,0.04,0.23,2.34,0.02,-0.01,-0.02,
0.082825,0.04,0.23,2.34,0.02,-0.02,-0.03,
0.083197,0.40,-0.78,0.87,0.02,-0.02,-0.03,
0.085605,0.40,-0.78,0.87,-0.01,-0.03,-0.02,
0.086089,0.40,-0.78,0.87,-0.01,-0.03,-0.02,
0.102425,0.40,-0.78,0.87,-0.03,-0.02,-0.02,
0.103066,-0.34,-0.72,-0.32,-0.03,-0.02,-0.02,
0.103442,-0.34,-0.72,-0.32,-0.03,-0.01,-0.01,
0.103885,-0.34,-0.72,-0.32,-0.03,-0.01,-0.01,
0.104236,-0.34,-0.72,-0.32,-0.01,0.01,-0.01,
