
time,ax,ay,az,wx,wy,wz,
22:26:59:238,-1.13,0.81,-2.03,-0.11,0.28,0.04,
22:26:59:239,-1.12,0.82,-2.03,-0.11,0.28,0.04,
22:26:59:240,-1.12,0.82,-2.03,-0.19,0.23,0.07,
22:26:59:240,-0.32,0.49,-1.49,-0.19,0.23,0.07,
22:26:59:241,-0.32,0.49,-1.49,-0.26,0.16,0.08,
22:26:59:241,-0.32,0.49,-1.49,-0.26,0.16,0.08,
22:26:59:242,-0.32,0.49,-1.49,-0.30,0.08,0.07,
22:26:59:242,0.06,-0.17,-0.62,-0.30,0.08,0.07,
22:26:59:243,0.06,-0.17,-0.62,-0.33,0.00,0.04,
22:26:59:243,0.06,-0.17,-0.62,-0.33,0.00,0.04,
22:26:59:247,0.06,-0.17,-0.62,-0.34,-0.06,0.01,
22:26:59:247,0.20,-0.34,0.09,-0.34,-0.06,0.01,
22:26:59:248,0.20,-0.34,0.09,-0.33,-0.09,-0.02,
22:26:59:249,0.19,-0.34,0.08,-0.33,-0.09,-0.02,
22:26:59:249,0.19,-0.34,0.08,-0.31,-0.09,-0.03,
22:26:59:250,-0.16,-0.23,0.54,-0.31,-0.09,-0.03,
22:26:59:252,-0.16,-0.23,0.54,-0.28,-0.06,-0.04,
22:26:59:252,-0.16,-0.22,0.53,-0.28,-0.06,-0.04,
22:26:59:254,-0.16,-0.22,0.53,-0.24,-0.02,-0.03,
22:26:59:255,-0.46,-0.10,0.94,-0.24,-0.02,-0.03,
22:26:59:257,-0.46,-0.10,0.94,-0.20,-0.00,-0.02,
22:26:59:259,-0.46,-0.09,0.93,-0.20,-0.00,-0.02,
22:26:59:260,-0.46,-0.09,0.93,-0.14,-0.00,0.00,
22:26:59:261,-0.44,-0.19,1.25,-0.14,-0.00,0.00,
22:26:59:268,-0.44,-0.19,1.25,-0.08,-0.03,0.01,
22:26:59:269,-0.45,-0.19,1.25,-0.08,-0.03,0.01,
22:26:59:269,-0.45,-0.19,1.25,-0.02,-0.05,0.02,
22:26:59:270,-0.32,-0.08,1.29,-0.02,-0.05,0.02,
22:26:59:270,-0.32,-0.08,1.29,0.04,-0.07,0.01,
22:26:59:271,-0.32,-0.08,1.29,0.04,-0.07,0.01,
22:26:59:272,-0.32,-0.08,1.29,0.09,-0.08,0.01,
22:26:59:272,-0.12,0.12,0.74,0.09,-0.08,0.01,
22:26:59:273,-0.12,0.12,0.74,0.12,-0.08,0.01,
22:26:59:273,-0.12,0.12,0.74,0.12,-0.08,0.01,
22:26:59:275,-0.12,0.12,0.74,0.15,-0.06,0.01,
22:26:59:275,0.04,0.31,-0.14,0.15,-0.06,0.01,
22:26:59:288,0.04,0.31,-0.14,0.15,-0.03,0.01,
22:26:59:289,0.04,0.31,-0.14,0.15,-0.03,0.01,
22:26:59:289,0.04,0.31,-0.14,0.14,0.00,0.00,
22:26:59:290,-0.02,0.34,-0.93,0.14,0.00,0.00,
22:26:59:291,-0.02,0.34,-0.93,0.13,0.03,0.00,
22:26:59:291,-0.01,0.34,-0.92,0.13,0.03,0.00,
22:26:59:292,-0.01,0.34,-0.92,0.10,0.05,0.00,
22:26:59:292,0.14,0.12,-1.18,0.10,0.05,0.00,
22:26:59:293,0.14,0.12,-1.18,0.07,0.07,-0.00,
22:26:59:293,0.14,0.12,-1.18,0.07,0.07,-0.00,
22:26:59:294,0.14,0.12,-1.18,0.04,0.07,-0.00,
22:26:59:294,0.07,-0.02,-1.00,0.04,0.07,-0.00,
22:26:59:294,0.07,-0.02,-1.00,0.00,0.07,-0.01,
22:26:59:295,0.07,-0.02,-1.00,0.00,0.07,-0.01,
22:26:59:295,0.07,-0.02,-1.00,-0.03,0.07,-0.02,
22:26:59:297,-0.15,0.03,-0.54,-0.03,0.07,-0.02,
22:26:59:297,-0.15,0.03,-0.54,-0.06,0.06,-0.02,
22:26:59:298,-0.15,0.03,-0.54,-0.06,0.06,-0.02,
22:26:59:303,-0.15,0.03,-0.54,-0.08,0.03,-0.01,
22:26:59:304,-0.34,-0.14,-0.02,-0.08,0.03,-0.01,
22:26:59:305,-0.34,-0.14,-0.02,-0.09,0.00,-0.01,
22:26:59:305,-0.34,-0.14,-0.03,-0.09,0.00,-0.01,
