
time,ax,ay,az,wx,wy,wz,
0.002102,-0.07,-0.61,0.13,-0.02,-0.10,0.02,
0.002396,-0.45,-0.25,0.41,-0.02,-0.10,0.02,
0.002600,-0.45,-0.25,0.41,-0.01,-0.09,0.02,
0.002832,-0.45,-0.25,0.41,-0.01,-0.09,0.02,
0.003017,-0.45,-0.25,0.41,-0.00,-0.06,0.03,
0.003200,0.16,-0.03,1.40,-0.00,-0.06,0.03,
0.003365,0.16,-0.03,1.40,-0.00,-0.02,0.02,
0.003547,0.16,-0.03,1.40,-0.00,-0.02,0.02,
0.003801,0.16,-0.03,1.40,-0.01,0.02,0.00,
0.004010,0.31,-0.75,1.18,-0.01,0.02,0.00,
0.009530,0.31,-0.75,1.18,-0.01,0.04,-0.01,
0.010042,0.31,-0.75,1.18,-0.01,0.04,-0.01,
0.010413,0.31,-0.75,1.18,-0.01,0.03,-0.02,
0.010717,0.31,-1.40,0.77,-0.01,0.03,-0.02,
0.011023,0.31,-1.40,0.77,-0.01,0.02,-0.03,
0.011323,0.31,-1.40,0.77,-0.01,0.02,-0.03,
0.013378,0.31,-1.40,0.77,0.00,0.01,-0.02,
0.013766,-0.19,-0.98,0.62,0.00,0.01,-0.02,
0.015879,-0.19,-0.98,0.62,0.02,0.00,-0.01,
0.016272,-0.19,-0.98,0.62,0.02,0.00,-0.01,
0.028160,-0.19,-0.98,0.62,0.04,-0.00,-0.01,
0.028656,-0.06,-0.15,0.98,0.04,-0.00,-0.01,
0.029041,-0.06,-0.15,0.98,0.05,-0.00,0.00,
0.029352,-0.06,-0.15,0.98,0.05,-0.00,0.00,
0.029668,-0.06,-0.15,0.98,0.06,0.00,0.01,
0.029980,0.05,-0.10,0.99,0.06,0.00,0.01,
0.030330,0.05,-0.10,0.99,0.06,0.02,0.01,
0.030621,0.05,-0.10,1.00,0.06,0.02,0.01,
0.030970,0.05,-0.10,1.00,0.05,0.03,0.00,
0.031261,0.11,-0.11,0.59,0.05,0.03,0.00,
0.031542,0.11,-0.11,0.59,0.03,0.04,-0.01,
0.031950,0.11,-0.11,0.59,0.03,0.04,-0.01,
